Volume,Volume Weighted Average Price,Open Price,Closing Price,Day Highest,Day Lowest,Date,Number of Transaction
33897.0,2.1567,2.0745,2.25,2.34,2.0515,2023-01-17 05:00:00,179
15031.0,2.2871,2.33,2.26,2.34,2.25,2023-01-18 05:00:00,97
9078.0,2.2801,2.32,2.27,2.33,2.21,2023-01-19 05:00:00,53
2497.0,2.1803,2.24,2.23,2.24,2.1223,2023-01-20 05:00:00,32
6279.0,2.1105,2.23,2.095,2.23,2.0248,2023-01-23 05:00:00,53
13158.0,2.0502,2.07,1.98,2.1499,1.98,2023-01-24 05:00:00,130
6640.0,1.9721000000000002,1.94,1.98,2.0,1.94,2023-01-25 05:00:00,52
8015.0,1.994,1.94,2.0,2.01,1.94,2023-01-26 05:00:00,85
66770.0,1.9947,2.0,1.97,2.12,1.7000000000000002,2023-01-27 05:00:00,216
11600.0,1.9508,1.94,1.98,2.005,1.9,2023-01-30 05:00:00,92
9402.0,1.9989,1.9501,2.04,2.11,1.9501,2023-01-31 05:00:00,89
34109.0,1.9897,2.0,1.9300000000000002,2.09,1.9300000000000002,2023-02-01 05:00:00,195
13892.0,2.0365,2.02,2.02,2.0699,1.99,2023-02-02 05:00:00,102
33900.0,2.0652,2.0401,2.01,2.12,2.01,2023-02-03 05:00:00,185
32673.0,1.9574,1.98,2.0,2.01,1.8599999999999999,2023-02-06 05:00:00,246
17282.0,1.9899,2.04,2.0,2.0892,1.9182000000000001,2023-02-07 05:00:00,156
36448.0,1.9415,2.0213,1.9300000000000002,2.1,1.8599999999999999,2023-02-08 05:00:00,131
43239.0,1.8235999999999999,1.8744,1.82,1.9232,1.8,2023-02-09 05:00:00,147
34044.0,1.895,1.82,1.9500000000000002,2.0,1.8113000000000001,2023-02-10 05:00:00,242
102170.0,1.7333,1.9,1.6099999999999999,1.9299,1.6,2023-02-13 05:00:00,384
63569.0,1.6017000000000001,1.7000000000000002,1.6,1.7000000000000002,1.56,2023-02-14 05:00:00,311
10989.0,1.6479,1.6099999999999999,1.67,1.7000000000000002,1.6099999999999999,2023-02-15 05:00:00,94
31432.0,1.7132,1.67,1.6600000000000001,1.81,1.63,2023-02-16 05:00:00,180
10585.0,1.7669000000000001,1.9537,1.76,1.96,1.67,2023-02-17 05:00:00,106
17185.0,1.7309,1.83,1.71,1.83,1.6942,2023-02-21 05:00:00,142
8409.0,1.7191,1.9,1.67,1.9,1.67,2023-02-22 05:00:00,102
25811.0,1.7168,1.6800000000000002,1.76,1.9,1.6800000000000002,2023-02-23 05:00:00,247
4893.0,1.7425000000000002,1.71,1.73,1.78,1.71,2023-02-24 05:00:00,103
20329.0,1.6977,1.69,1.6800000000000002,1.7241,1.6800000000000002,2023-02-27 05:00:00,188
35684.0,1.6374,1.6600000000000001,1.63,1.67,1.63,2023-02-28 05:00:00,273
21383.0,1.6160999999999999,1.7000000000000002,1.6,1.7000000000000002,1.6,2023-03-01 05:00:00,155
20665.0,1.5409000000000002,1.6280999999999999,1.5474,1.6280999999999999,1.51,2023-03-02 05:00:00,206
45423.0,1.5354,1.5,1.54,1.55,1.495,2023-03-03 05:00:00,227
11987.0,1.5991,1.63,1.55,1.63,1.55,2023-03-06 05:00:00,193
3833.0,1.5196,1.512,1.52,1.5350000000000001,1.51,2023-03-07 05:00:00,89
7903.0,1.5256,1.52,1.55,1.55,1.52,2023-03-08 05:00:00,88
10753.0,1.4849999999999999,1.56,1.46,1.5875,1.46,2023-03-09 05:00:00,92
10177.0,1.494,1.49,1.5,1.526,1.49,2023-03-10 05:00:00,146
29242.0,1.5284,1.57,1.52,1.6400000000000001,1.49,2023-03-13 04:00:00,177
17105.0,1.5532,1.57,1.51,1.6400000000000001,1.5,2023-03-14 04:00:00,277
11916.0,1.5422,1.49,1.55,1.5507,1.49,2023-03-15 04:00:00,199
3804.0,1.5061,1.57,1.49,1.57,1.49,2023-03-16 04:00:00,81
9122.0,1.4957,1.51,1.49,1.52,1.49,2023-03-17 04:00:00,189
20999.0,1.5072,1.5,1.5,1.55,1.49,2023-03-20 04:00:00,215
13562.0,1.4904,1.53,1.46,1.53,1.46,2023-03-21 04:00:00,125
10688.0,1.4706000000000001,1.46,1.49,1.49,1.45,2023-03-22 04:00:00,88
10776.0,1.5383,1.53,1.53,1.5499,1.5171000000000001,2023-03-23 04:00:00,45
5041.0,1.5051,1.502,1.51,1.51,1.5,2023-03-24 04:00:00,56
8298.0,1.4756,1.47,1.47,1.5,1.47,2023-03-27 04:00:00,64
8709.0,1.4778,1.47,1.47,1.505,1.47,2023-03-28 04:00:00,155
24435.0,1.477,1.48,1.475,1.48,1.47,2023-03-29 04:00:00,90
42297.0,1.4766,1.4764,1.48,1.5,1.45,2023-03-30 04:00:00,170
139034.0,1.6983000000000001,1.51,1.72,2.0,1.49,2023-03-31 04:00:00,578
676278.0,2.0457,1.98,2.0,2.19,1.85,2023-04-03 04:00:00,1939
72412.0,1.8744,2.04,1.8399999999999999,2.07,1.8014999999999999,2023-04-04 04:00:00,327
78238.0,1.8588,1.85,1.8900000000000001,1.935,1.81,2023-04-05 04:00:00,278
113814.0,2.0235,1.8900000000000001,2.0,2.15,1.8900000000000001,2023-04-06 04:00:00,730
61554.0,1.9739,2.05,1.9300000000000002,2.05,1.9300000000000002,2023-04-10 04:00:00,320
63220.0,1.9339,2.02,1.9100000000000001,2.02,1.8900000000000001,2023-04-11 04:00:00,333
511186.0,2.0945,1.92,2.05,2.24,1.9,2023-04-12 04:00:00,2065
2051461.0,2.1428,2.12,2.18,2.47,2.0,2023-04-13 04:00:00,6540
1019469.0,2.0022,2.23,1.795,2.4,1.75,2023-04-14 04:00:00,3401
234313.0,1.8239,1.78,1.8599999999999999,1.8900000000000001,1.78,2023-04-17 04:00:00,649
494853.0,2.0264,1.83,1.98,2.19,1.83,2023-04-18 04:00:00,1837
135285.0,1.8849,1.99,1.9300000000000002,2.025,1.8316,2023-04-19 04:00:00,461
242492.0,1.6748,1.9300000000000002,1.5350000000000001,1.9500000000000002,1.49,2023-04-20 04:00:00,1125
237088.0,1.5732,1.56,1.55,1.6880000000000002,1.49,2023-04-21 04:00:00,720
91352.0,1.5556999999999999,1.55,1.57,1.5899999999999999,1.5,2023-04-24 04:00:00,327
112186.0,1.5203,1.57,1.53,1.6,1.49,2023-04-25 04:00:00,311
54038.0,1.5296,1.5350000000000001,1.5,1.6,1.5,2023-04-26 04:00:00,261
124877.0,1.5952000000000002,1.5899999999999999,1.6461999999999999,1.69,1.51,2023-04-27 04:00:00,462
110393.0,1.5904,1.6480000000000001,1.54,1.65,1.54,2023-04-28 04:00:00,305
56244.0,1.5646,1.54,1.54,1.6099999999999999,1.5327000000000002,2023-05-01 04:00:00,209
50018.0,1.5134,1.5401,1.5,1.5401,1.47,2023-05-02 04:00:00,245
72477.0,1.5455999999999999,1.52,1.55,1.5998999999999999,1.51,2023-05-03 04:00:00,297
27507.0,1.5409000000000002,1.54,1.58,1.5945,1.51,2023-05-04 04:00:00,95
61498.0,1.6479,1.62,1.63,1.7000000000000002,1.6,2023-05-05 04:00:00,117
62645.0,1.6257000000000001,1.6178,1.65,1.6800000000000002,1.5899999999999999,2023-05-08 04:00:00,305
57367.0,1.6360000000000001,1.6793,1.6,1.6799,1.56,2023-05-09 04:00:00,221
60974.0,1.6139000000000001,1.55,1.6,1.6400000000000001,1.5401,2023-05-10 04:00:00,261
63939.0,1.6597,1.6,1.6400000000000001,1.7000000000000002,1.6,2023-05-11 04:00:00,251
104612025.0,3.8866,1.74,5.09,5.24,1.74,2023-05-12 04:00:00,419612
84643328.0,6.1228,4.7,5.34,7.3,4.09,2023-05-15 04:00:00,386919
9247066.0,4.5132,4.97,4.33,5.13,4.0,2023-05-16 04:00:00,51028
5705233.0,4.0524000000000004,3.81,4.36,4.4899000000000004,3.7199999999999998,2023-05-17 04:00:00,26141
18570350.0,5.2446,4.2,5.92,6.0,4.14,2023-05-18 04:00:00,80517
25908425.0,6.4966,6.59,6.0,7.3,5.55,2023-05-19 04:00:00,126121
3270452.0,5.84,5.7,5.84,6.25,5.4,2023-05-22 04:00:00,17280
1864596.0,5.8559,5.72,5.71,6.1898,5.5600000000000005,2023-05-23 04:00:00,9264
2415730.0,5.4056,5.43,5.16,5.8753,5.0,2023-05-24 04:00:00,12556
8436168.0,5.8755,5.8,5.67,6.5,5.13,2023-05-25 04:00:00,37310
1434873.0,5.3625,5.65,5.19,5.65,5.1,2023-05-26 04:00:00,8013
3218592.0,5.8811,5.33,6.25,6.39,5.23,2023-05-30 04:00:00,12357
1816905.0,5.6544,5.88,5.79,6.0485,5.3612,2023-05-31 04:00:00,8078
12330561.0,7.02,5.8,7.65,7.85,5.5,2023-06-01 04:00:00,43885
6104865.0,7.4085,6.97,7.22,8.08,6.69,2023-06-02 04:00:00,23796
1859078.0,6.9319,7.16,6.85,7.45,6.6,2023-06-05 04:00:00,9783
1904510.0,7.1317,6.77,7.02,7.48,6.6107,2023-06-06 04:00:00,8362
874950.0,6.9682,7.01,7.0,7.34,6.7151,2023-06-07 04:00:00,4842
3567927.0,7.7032,7.01,7.49,8.25,6.986,2023-06-08 04:00:00,15247
1516174.0,7.2021,7.43,7.2,7.69,6.83,2023-06-09 04:00:00,6845
655894.0,7.2912,7.245,7.42,7.55,6.98,2023-06-12 04:00:00,3988
1026244.0,7.4458,7.48,7.47,7.93,7.13,2023-06-13 04:00:00,5460
1850702.0,7.8178,7.42,7.9,8.14,7.25,2023-06-14 04:00:00,7882
